SKU,Style,Category,Color,Size,MSRP,Unit_Cost,Target_GM_Pct,Launch_Week_Index,End_Week_Index
SKU00346,STY0110,Outerwear,Navy,XXL,84.49,42.86,0.493,60,86
SKU00347,STY0150,Activewear,Gray,L,57.47,26.76,0.534,27,81
SKU00348,STY0152,Men's Denim,Red,L,61.33,31.47,0.487,31,62
SKU00349,STY0109,Graphic Tees,Gray,S,26.63,11.38,0.573,48,85
SKU00350,STY0076,Activewear,Green,L,27.94,13.32,0.523,39,98
SKU00351,STY0030,Tops & Blouses,White,M,40.27,18.76,0.534,37,94
SKU00352,STY0058,Loungewear,Green,L,28.24,12.75,0.549,9,38
SKU00353,STY0117,Activewear,Green,S,40.56,17.81,0.561,16,55
SKU00354,STY0159,Women's Denim,Black,L,62.71,29.46,0.53,36,84
SKU00355,STY0100,Men's Denim,Green,XXL,75.53,36.57,0.516,42,76
SKU00356,STY0192,Activewear,Gray,XS,43.62,20.56,0.529,8,46
SKU00357,STY0019,Men's Denim,Blue,XXL,67.61,30.33,0.551,76,100
SKU00358,STY0176,Outerwear,Blue,M,110.65,60.26,0.455,2,40
SKU00359,STY0173,Seasonal Capsule,Navy,XL,39.31,19.43,0.506,18,33
SKU00360,STY0094,Outerwear,White,XL,127.04,65.19,0.487,3,63
SKU00361,STY0183,Graphic Tees,White,L,28.91,11.96,0.586,45,68
SKU00362,STY0113,Activewear,Black,L,62.12,27.72,0.554,27,62
SKU00363,STY0183,Tops & Blouses,Gray,XL,37.81,15.75,0.583,4,41
SKU00364,STY0146,Outerwear,Navy,M,92.26,52.43,0.432,20,66
SKU00365,STY0063,Seasonal Capsule,White,M,84.11,44.14,0.475,28,37
SKU00366,STY0116,Graphic Tees,Blue,L,16.64,6.6,0.603,6,50
SKU00367,STY0113,Seasonal Capsule,Green,XL,59.02,31.8,0.461,60,73
SKU00368,STY0047,Seasonal Capsule,Green,XL,32.68,16.89,0.483,89,103
SKU00369,STY0057,Women's Denim,Navy,XL,66.89,33.37,0.501,7,58
SKU00370,STY0118,Men's Denim,Gray,M,79.83,40.92,0.487,8,32
SKU00371,STY0045,Men's Denim,Gray,XL,57.42,28.0,0.512,27,87
SKU00372,STY0161,Men's Denim,Red,S,79.92,36.98,0.537,27,80
SKU00373,STY0145,Men's Denim,Tan,L,74.15,38.25,0.484,35,84
SKU00374,STY0198,Activewear,White,XS,50.65,21.8,0.57,35,70
SKU00375,STY0004,Men's Denim,Gray,M,50.62,23.59,0.534,30,63
SKU00376,STY0148,Aerie Intimates,Blue,M,21.21,9.24,0.564,22,79
SKU00377,STY0047,Loungewear,Navy,M,20.53,9.37,0.544,36,90
SKU00378,STY0143,Men's Denim,Red,L,51.12,26.26,0.486,3,60
SKU00379,STY0198,Loungewear,Pink,M,44.93,20.96,0.533,25,57
SKU00380,STY0047,Aerie Intimates,Black,M,16.34,7.09,0.566,43,84
SKU00381,STY0078,Men's Denim,Pink,S,70.23,31.17,0.556,20,67
SKU00382,STY0124,Activewear,Green,M,50.58,24.62,0.513,55,88
SKU00383,STY0075,Activewear,Black,S,52.78,24.45,0.537,51,78
SKU00384,STY0103,Loungewear,White,XS,37.67,16.18,0.57,38,80
SKU00385,STY0137,Accessories,Blue,L,27.74,9.3,0.665,61,94
SKU00386,STY0090,Loungewear,Black,L,46.94,21.02,0.552,56,96
SKU00387,STY0144,Aerie Intimates,Tan,L,33.78,13.06,0.613,41,68
SKU00388,STY0069,Women's Denim,Pink,M,59.28,30.08,0.493,22,54
SKU00389,STY0061,Accessories,White,M,14.64,5.76,0.607,65,91
SKU00390,STY0138,Loungewear,Tan,XL,27.12,12.22,0.549,50,94
SKU00391,STY0050,Seasonal Capsule,Green,M,76.69,40.93,0.466,20,30
SKU00392,STY0003,Graphic Tees,Tan,M,24.6,8.67,0.648,12,49
SKU00393,STY0107,Graphic Tees,Red,XS,20.68,8.66,0.581,3,63
SKU00394,STY0113,Accessories,Red,M,29.12,12.39,0.575,66,101
SKU00395,STY0094,Graphic Tees,Navy,M,22.68,8.57,0.622,26,84
SKU00396,STY0118,Seasonal Capsule,White,M,81.79,37.58,0.541,22,41
SKU00397,STY0198,Loungewear,Green,L,48.06,18.58,0.613,30,78
SKU00398,STY0081,Graphic Tees,Gray,L,28.52,11.74,0.588,46,84
SKU00399,STY0109,Accessories,Red,L,29.72,10.44,0.649,53,102
SKU00400,STY0051,Accessories,White,XL,33.95,14.21,0.581,35,66
SKU00401,STY0147,Men's Denim,Gray,XL,55.97,25.28,0.548,47,86
SKU00402,STY0170,Seasonal Capsule,Navy,L,72.16,36.94,0.488,20,33
SKU00403,STY0035,Tops & Blouses,Tan,XXL,30.38,13.17,0.566,49,83
SKU00404,STY0046,Loungewear,Red,XS,46.72,21.92,0.531,19,70
SKU00405,STY0154,Aerie Intimates,White,S,25.99,11.67,0.551,58,87
SKU00406,STY0069,Loungewear,Black,XS,29.12,12.43,0.573,24,84
SKU00407,STY0093,Graphic Tees,Gray,L,14.67,5.38,0.633,20,79
SKU00408,STY0064,Men's Denim,Tan,XL,79.14,40.04,0.494,40,70
SKU00409,STY0165,Seasonal Capsule,Red,S,30.56,14.23,0.534,64,83
SKU00410,STY0049,Men's Denim,Green,XXL,58.93,26.71,0.547,39,71
SKU00411,STY0149,Aerie Intimates,Gray,XS,22.26,9.02,0.595,36,71
SKU00412,STY0074,Seasonal Capsule,Red,XXL,44.69,23.73,0.469,64,74
SKU00413,STY0192,Seasonal Capsule,Gray,M,35.3,19.37,0.451,87,103
SKU00414,STY0005,Outerwear,Tan,S,66.85,36.96,0.447,46,79
SKU00415,STY0100,Activewear,Red,M,61.12,25.29,0.586,10,70
SKU00416,STY0070,Tops & Blouses,Pink,S,35.12,14.2,0.596,44,101
SKU00417,STY0090,Aerie Intimates,White,M,20.42,8.55,0.581,1,40
SKU00418,STY0004,Aerie Intimates,Tan,M,24.14,9.67,0.599,9,65
SKU00419,STY0126,Activewear,Gray,XL,33.53,14.58,0.565,51,91
SKU00420,STY0039,Accessories,Green,L,39.7,15.74,0.604,63,100
SKU00421,STY0163,Accessories,Black,M,13.74,5.31,0.614,9,63
SKU00422,STY0129,Accessories,Gray,L,38.16,12.65,0.669,18,61
SKU00423,STY0024,Men's Denim,White,L,64.08,31.76,0.504,44,78
SKU00424,STY0057,Tops & Blouses,Red,S,40.56,18.49,0.544,18,75
SKU00425,STY0100,Men's Denim,Black,M,53.65,26.82,0.5,32,79
SKU00426,STY0070,Outerwear,Blue,S,68.77,33.67,0.51,49,88
SKU00427,STY0041,Tops & Blouses,Gray,S,25.21,11.26,0.553,14,62
SKU00428,STY0182,Loungewear,Navy,L,45.74,18.43,0.597,25,55
SKU00429,STY0174,Graphic Tees,Blue,S,25.56,9.66,0.622,28,88
SKU00430,STY0060,Men's Denim,Gray,L,54.91,28.3,0.485,22,47
SKU00431,STY0108,Women's Denim,Pink,L,58.07,27.16,0.532,62,92
SKU00432,STY0188,Accessories,Navy,S,14.24,5.23,0.633,10,67
SKU00433,STY0057,Outerwear,Black,L,85.67,41.01,0.521,29,82
SKU00434,STY0031,Men's Denim,Green,S,73.83,33.04,0.552,41,88
SKU00435,STY0084,Men's Denim,Pink,XXL,57.53,27.73,0.518,39,81
SKU00436,STY0152,Activewear,Blue,M,51.45,24.45,0.525,52,94
SKU00437,STY0036,Men's Denim,Red,XL,72.46,32.26,0.555,1,56
SKU00438,STY0158,Loungewear,White,L,34.0,13.24,0.611,23,53
SKU00439,STY0152,Activewear,Green,XS,38.07,16.02,0.579,47,95
SKU00440,STY0108,Men's Denim,Pink,L,77.2,36.81,0.523,25,75
SKU00441,STY0106,Men's Denim,Red,XXL,71.02,34.91,0.508,63,103
SKU00442,STY0158,Seasonal Capsule,Red,L,71.73,39.45,0.45,93,103
SKU00443,STY0086,Graphic Tees,Gray,XL,24.99,9.94,0.602,30,73
SKU00444,STY0135,Graphic Tees,Pink,XL,16.43,6.31,0.616,52,93
SKU00445,STY0163,Loungewear,Black,S,46.75,19.95,0.573,23,76
SKU00446,STY0183,Seasonal Capsule,Navy,S,73.79,35.26,0.522,52,69
SKU00447,STY0014,Seasonal Capsule,Navy,L,94.94,52.18,0.45,75,95
SKU00448,STY0120,Accessories,Blue,M,23.42,8.28,0.646,12,49
SKU00449,STY0138,Graphic Tees,Blue,XL,25.27,9.13,0.639,72,102
SKU00450,STY0080,Men's Denim,Navy,XL,77.62,38.78,0.5,43,76
SKU00451,STY0144,Accessories,Black,M,29.5,10.36,0.649,21,72
SKU00452,STY0182,Outerwear,White,S,99.55,56.04,0.437,50,78
SKU00453,STY0106,Graphic Tees,Tan,XL,18.36,7.8,0.575,49,79
SKU00454,STY0070,Seasonal Capsule,White,S,46.36,22.46,0.516,21,30
SKU00455,STY0044,Men's Denim,Gray,XL,78.79,39.14,0.503,39,80
SKU00456,STY0073,Tops & Blouses,Tan,M,27.91,12.59,0.549,56,97
SKU00457,STY0045,Men's Denim,Tan,L,59.48,30.62,0.485,4,63
SKU00458,STY0184,Tops & Blouses,Pink,XS,30.46,14.66,0.519,13,71
SKU00459,STY0107,Men's Denim,Black,L,50.26,25.21,0.498,19,77
SKU00460,STY0084,Men's Denim,Black,M,59.31,27.52,0.536,1,51
SKU00461,STY0082,Men's Denim,Tan,L,52.62,27.84,0.471,12,67
SKU00462,STY0107,Activewear,Pink,S,33.31,14.56,0.563,38,64
SKU00463,STY0185,Accessories,Tan,L,11.8,4.0,0.661,56,94
SKU00464,STY0021,Outerwear,Green,XL,101.61,49.29,0.515,25,61
SKU00465,STY0196,Seasonal Capsule,Blue,S,93.88,44.02,0.531,73,89
SKU00466,STY0178,Graphic Tees,Blue,XS,25.72,10.94,0.575,67,99
SKU00467,STY0161,Aerie Intimates,White,XS,20.84,7.95,0.619,16,65
SKU00468,STY0007,Loungewear,Gray,L,51.32,21.87,0.574,47,95
SKU00469,STY0070,Women's Denim,Blue,L,52.02,25.93,0.502,12,54
SKU00470,STY0127,Seasonal Capsule,Red,L,93.59,45.05,0.519,1,16
SKU00471,STY0143,Men's Denim,White,S,63.15,31.76,0.497,21,46
SKU00472,STY0160,Seasonal Capsule,Blue,M,60.05,32.01,0.467,85,99
SKU00473,STY0148,Men's Denim,Gray,L,72.0,34.79,0.517,15,75
SKU00474,STY0143,Loungewear,Black,M,57.95,22.82,0.606,46,83
SKU00475,STY0176,Tops & Blouses,Black,XXL,38.92,17.45,0.552,70,97
SKU00476,STY0199,Seasonal Capsule,Tan,S,93.12,45.11,0.516,68,83
SKU00477,STY0149,Men's Denim,Green,L,67.39,29.69,0.559,22,79
SKU00478,STY0170,Outerwear,Black,M,96.57,52.14,0.46,52,84
SKU00479,STY0154,Seasonal Capsule,Pink,M,30.71,16.36,0.467,53,66
SKU00480,STY0120,Tops & Blouses,Blue,L,33.87,13.61,0.598,29,89
SKU00481,STY0128,Activewear,Pink,L,35.13,17.2,0.51,65,89
SKU00482,STY0142,Activewear,Gray,XXL,56.44,26.06,0.538,39,72
SKU00483,STY0057,Tops & Blouses,Black,S,25.13,11.23,0.553,30,80
SKU00484,STY0165,Activewear,Green,S,36.64,18.21,0.503,56,99
SKU00485,STY0058,Outerwear,Gray,L,84.28,40.04,0.525,12,59
SKU00486,STY0021,Seasonal Capsule,Red,L,66.6,31.42,0.528,1,14
SKU00487,STY0082,Men's Denim,Red,S,57.54,28.07,0.512,15,58
SKU00488,STY0069,Aerie Intimates,Pink,XS,31.36,13.1,0.582,8,46
SKU00489,STY0131,Seasonal Capsule,Tan,XS,41.03,18.68,0.545,13,27
SKU00490,STY0087,Loungewear,White,XL,23.34,9.96,0.573,45,81
SKU00491,STY0165,Tops & Blouses,Tan,S,45.18,18.62,0.588,61,91
SKU00492,STY0049,Activewear,Tan,M,50.89,24.23,0.524,31,66
SKU00493,STY0147,Aerie Intimates,Green,S,21.02,9.74,0.537,69,97
SKU00494,STY0115,Women's Denim,Black,M,67.96,32.51,0.522,34,81
SKU00495,STY0089,Tops & Blouses,Green,XS,20.93,9.16,0.562,6,48
SKU00496,STY0085,Graphic Tees,Gray,M,15.69,6.52,0.584,4,44
SKU00497,STY0128,Outerwear,Red,XS,99.3,53.77,0.459,7,42
SKU00498,STY0140,Men's Denim,Green,XL,62.48,27.59,0.558,43,84
SKU00499,STY0189,Seasonal Capsule,Gray,S,33.03,17.15,0.481,19,30
SKU00500,STY0169,Seasonal Capsule,Green,L,46.15,23.91,0.482,48,66
SKU00501,STY0161,Activewear,Tan,XL,27.06,11.69,0.568,7,46
SKU00502,STY0178,Tops & Blouses,Blue,L,27.61,11.06,0.599,36,90
SKU00503,STY0117,Aerie Intimates,Pink,L,23.21,10.16,0.562,37,73
SKU00504,STY0196,Loungewear,White,M,22.75,9.54,0.581,40,66
SKU00505,STY0127,Activewear,Green,M,32.01,15.45,0.517,45,71
SKU00506,STY0071,Women's Denim,White,L,46.55,21.5,0.538,31,55
SKU00507,STY0086,Seasonal Capsule,Navy,XXL,36.65,17.66,0.518,31,50
SKU00508,STY0033,Loungewear,Green,L,58.27,23.43,0.598,71,101
SKU00509,STY0081,Seasonal Capsule,Blue,L,95.35,51.65,0.458,57,75
SKU00510,STY0152,Accessories,White,L,18.52,6.28,0.661,18,78
SKU00511,STY0061,Outerwear,Green,M,62.96,34.51,0.452,43,99
SKU00512,STY0061,Graphic Tees,Black,XS,28.14,11.7,0.584,6,58
SKU00513,STY0098,Seasonal Capsule,Pink,L,95.97,45.46,0.526,4,24
SKU00514,STY0028,Loungewear,Blue,XXL,50.68,21.79,0.57,15,55
SKU00515,STY0186,Men's Denim,White,S,64.47,31.04,0.519,10,69
SKU00516,STY0043,Men's Denim,Blue,L,67.14,31.05,0.538,11,36
SKU00517,STY0169,Graphic Tees,Gray,S,25.07,10.52,0.58,41,67
SKU00518,STY0167,Loungewear,Pink,L,28.39,13.22,0.534,35,63
SKU00519,STY0086,Seasonal Capsule,Green,XS,96.22,47.15,0.51,11,26
SKU00520,STY0177,Women's Denim,Green,M,53.58,26.15,0.512,60,91
SKU00521,STY0017,Outerwear,Green,L,73.33,37.84,0.484,49,89
SKU00522,STY0098,Graphic Tees,Pink,M,18.13,6.7,0.63,47,79
SKU00523,STY0198,Seasonal Capsule,Black,L,59.34,29.65,0.5,30,45
SKU00524,STY0198,Loungewear,Navy,XL,51.0,20.05,0.607,10,57
SKU00525,STY0098,Loungewear,Red,XXL,55.87,21.7,0.612,41,93
SKU00526,STY0065,Tops & Blouses,Tan,S,21.52,8.74,0.594,10,66
SKU00527,STY0074,Graphic Tees,White,M,16.92,5.96,0.648,22,65
SKU00528,STY0085,Aerie Intimates,Black,S,34.44,13.21,0.616,76,100
SKU00529,STY0005,Men's Denim,White,XXL,51.03,26.67,0.477,16,49
SKU00530,STY0002,Loungewear,Green,XXL,42.91,17.99,0.581,16,64
SKU00531,STY0022,Loungewear,Blue,L,20.4,9.36,0.541,60,94
SKU00532,STY0112,Seasonal Capsule,White,XL,57.79,31.63,0.453,90,100
SKU00533,STY0057,Seasonal Capsule,Green,L,49.22,25.64,0.479,7,23
SKU00534,STY0066,Outerwear,White,L,69.19,36.07,0.479,13,47
SKU00535,STY0074,Accessories,Blue,XS,34.92,14.34,0.589,56,95
SKU00536,STY0098,Seasonal Capsule,Green,L,48.11,22.07,0.541,80,98
SKU00537,STY0144,Loungewear,Navy,S,27.68,10.66,0.615,30,64
SKU00538,STY0112,Aerie Intimates,Black,XL,20.54,8.28,0.597,52,81
SKU00539,STY0179,Tops & Blouses,Gray,XL,34.73,15.08,0.566,15,40
SKU00540,STY0125,Women's Denim,Tan,L,51.79,23.98,0.537,13,54
SKU00541,STY0167,Seasonal Capsule,Pink,XS,69.99,37.13,0.469,55,74
SKU00542,STY0086,Outerwear,Tan,M,70.72,34.29,0.515,63,91
SKU00543,STY0076,Women's Denim,Tan,S,50.78,22.89,0.549,18,56
SKU00544,STY0088,Activewear,Green,M,27.5,11.1,0.596,23,64
SKU00545,STY0168,Outerwear,Navy,XS,116.15,57.45,0.505,36,87
SKU00546,STY0038,Graphic Tees,Gray,XXL,28.01,12.31,0.561,9,67
SKU00547,STY0188,Men's Denim,Black,L,56.85,26.78,0.529,57,85
SKU00548,STY0059,Activewear,Black,M,31.3,14.23,0.545,5,45
SKU00549,STY0138,Tops & Blouses,Blue,M,24.64,11.43,0.536,22,81
SKU00550,STY0099,Accessories,Pink,M,30.09,10.74,0.643,13,69
SKU00551,STY0192,Tops & Blouses,White,L,49.73,20.17,0.594,68,97
SKU00552,STY0063,Loungewear,Navy,M,59.04,27.12,0.541,21,78
SKU00553,STY0049,Outerwear,White,XL,120.58,60.16,0.501,2,56
SKU00554,STY0192,Outerwear,Gray,M,90.36,46.5,0.485,60,84
SKU00555,STY0032,Loungewear,Tan,XXL,46.56,20.02,0.57,46,84
SKU00556,STY0135,Graphic Tees,Black,XL,13.35,5.25,0.607,1,47
SKU00557,STY0021,Women's Denim,Gray,S,43.83,18.41,0.58,26,55
SKU00558,STY0020,Men's Denim,Tan,XXL,65.66,29.9,0.545,33,72
SKU00559,STY0154,Accessories,Black,S,24.72,8.64,0.65,53,103
SKU00560,STY0127,Activewear,Tan,XL,59.39,25.26,0.575,4,50
SKU00561,STY0068,Activewear,Pink,M,29.58,12.2,0.588,67,100
SKU00562,STY0110,Women's Denim,Navy,XL,49.68,23.73,0.522,49,73
SKU00563,STY0116,Women's Denim,Gray,XL,60.43,28.25,0.533,20,72
SKU00564,STY0143,Men's Denim,Gray,XL,58.23,29.51,0.493,60,92
SKU00565,STY0120,Graphic Tees,Red,XL,28.98,11.08,0.618,16,75
SKU00566,STY0079,Outerwear,Green,M,74.81,36.07,0.518,41,90
SKU00567,STY0116,Graphic Tees,Pink,XS,29.9,11.01,0.632,2,49
SKU00568,STY0092,Graphic Tees,Pink,M,19.94,7.23,0.637,9,57
SKU00569,STY0014,Seasonal Capsule,White,S,73.54,39.03,0.469,39,51
SKU00570,STY0155,Graphic Tees,Tan,L,23.68,9.3,0.607,24,82
SKU00571,STY0125,Tops & Blouses,Green,M,34.73,15.74,0.547,66,102
SKU00572,STY0168,Accessories,Navy,XXL,11.46,4.8,0.581,20,70
SKU00573,STY0058,Graphic Tees,Navy,L,22.54,9.02,0.6,18,50
SKU00574,STY0028,Activewear,Pink,XL,30.69,14.73,0.52,22,56
SKU00575,STY0026,Loungewear,Navy,S,25.68,11.59,0.549,22,80
SKU00576,STY0113,Seasonal Capsule,Red,XL,66.73,34.69,0.48,56,68
SKU00577,STY0191,Women's Denim,Gray,XXL,63.72,30.43,0.522,20,78
SKU00578,STY0066,Seasonal Capsule,Blue,M,96.16,46.12,0.52,16,35
SKU00579,STY0153,Tops & Blouses,White,L,26.49,12.08,0.544,12,48
SKU00580,STY0131,Aerie Intimates,Tan,XL,21.42,9.35,0.563,61,97
SKU00581,STY0200,Tops & Blouses,Tan,S,30.23,12.2,0.596,41,80
SKU00582,STY0044,Seasonal Capsule,Black,M,62.2,31.09,0.5,27,40
SKU00583,STY0097,Tops & Blouses,Blue,M,32.01,14.82,0.537,43,79
SKU00584,STY0042,Aerie Intimates,Pink,S,14.95,6.6,0.559,28,67
SKU00585,STY0006,Activewear,Red,M,36.4,14.61,0.599,32,77
SKU00586,STY0167,Aerie Intimates,Gray,XS,31.97,14.89,0.534,5,62
SKU00587,STY0180,Men's Denim,Gray,XS,65.38,28.67,0.561,31,78
SKU00588,STY0023,Women's Denim,Red,S,51.35,24.17,0.529,25,74
SKU00589,STY0089,Women's Denim,Green,XXL,51.65,23.66,0.542,32,77
SKU00590,STY0123,Women's Denim,Black,L,45.26,23.03,0.491,11,57
SKU00591,STY0178,Women's Denim,Tan,XXL,55.91,27.81,0.503,20,77
SKU00592,STY0171,Activewear,Blue,M,51.17,24.63,0.519,66,89
SKU00593,STY0147,Women's Denim,Navy,M,60.13,28.76,0.522,48,99
SKU00594,STY0197,Graphic Tees,Black,M,15.21,6.29,0.586,5,62
SKU00595,STY0051,Loungewear,Blue,M,43.09,19.36,0.551,9,51
SKU00596,STY0011,Tops & Blouses,White,S,44.07,19.06,0.568,38,79
SKU00597,STY0012,Activewear,White,L,29.11,13.92,0.522,60,95
SKU00598,STY0074,Women's Denim,Black,S,62.97,27.75,0.559,43,87
SKU00599,STY0008,Women's Denim,Pink,L,45.84,19.37,0.577,48,96
SKU00600,STY0152,Men's Denim,Blue,L,58.42,26.86,0.54,28,63
